299 => 295, x = 0, y = 4, z = 4, xx = 3, yy = 5, zz = 4
304 => 296, x = 0, y = 4, z = 4, xx = 0, yy = 6, zz = 4
305 => 297, x = 0, y = 4, z = 4, xx = 1, yy = 6, zz = 4
306 => 298, x = 0, y = 4, z = 4, xx = 2, yy = 6, zz = 4
307 => 299, x = 0, y = 4, z = 4, xx = 3, yy = 6, zz = 4
312 => 300, x = 0, y = 4, z = 4, xx = 0, yy = 7, zz = 4
313 => 301, x = 0, y = 4, z = 4, xx = 1, yy = 7, zz = 4
314 => 302, x = 0, y = 4, z = 4, xx = 2, yy = 7, zz = 4
315 => 303, x = 0, y = 4, z = 4, xx = 3, yy = 7, zz = 4
292 => 304, x = 4, y = 4, z = 4, xx = 4, yy = 4, zz = 4
293 => 305, x = 4, y = 4, z = 4, xx = 5, yy = 4, zz = 4
294 => 306, x = 4, y = 4, z = 4, xx = 6, yy = 4, zz = 4
295 => 307, x = 4, y = 4, z = 4, xx = 7, yy = 4, zz = 4
300 => 308, x = 4, y = 4, z = 4, xx = 4, yy = 5, zz = 4
301 => 309, x = 4, y = 4, z = 4, xx = 5, yy = 5, zz = 4
302 => 310, x = 4, y = 4, z = 4, xx = 6, yy = 5, zz = 4
303 => 311, x = 4, y = 4, z = 4, xx = 7, yy = 5, zz = 4
308 => 312, x = 4, y = 4, z = 4, xx = 4, yy = 6, zz = 4
309 => 313, x = 4, y = 4, z = 4, xx = 5, yy = 6, zz = 4
310 => 314, x = 4, y = 4, z = 4, xx = 6, yy = 6, zz = 4
311 => 315, x = 4, y = 4, z = 4, xx = 7, yy = 6, zz = 4
316 => 316, x = 4, y = 4, z = 4, xx = 4, yy = 7, zz = 4
317 => 317, x = 4, y = 4, z = 4, xx = 5, yy = 7, zz = 4
318 => 318, x = 4, y = 4, z = 4, xx = 6, yy = 7, zz = 4
319 => 319, x = 4, y = 4, z = 4, xx = 7, yy = 7, zz = 4
320 => 320, x = 0, y = 0, z = 5, xx = 0, yy = 0, zz = 5
321 => 321, x = 0, y = 0, z = 5, xx = 1, yy = 0, zz = 5
322 => 322, x = 0, y = 0, z = 5, xx = 2, yy = 0, zz = 5
323 => 323, x = 0, y = 0, z = 5, xx = 3, yy = 0, zz = 5
328 => 324, x = 0, y = 0, z = 5, xx = 0, yy = 1, zz = 5
329 => 325, x = 0, y = 0, z = 5, xx = 1, yy = 1, zz = 5
330 => 326, x = 0, y = 0, z = 5, xx = 2, yy = 1, zz = 5
331 => 327, x = 0, y = 0, z = 5, xx = 3, yy = 1, zz = 5
336 => 328, x = 0, y = 0, z = 5, xx = 0, yy = 2, zz = 5
337 => 329, x = 0, y = 0, z = 5, xx = 1, yy = 2, zz = 5
338 => 330, x = 0, y = 0, z = 5, xx = 2, yy = 2, zz = 5
339 => 331, x = 0, y = 0, z = 5, xx = 3, yy = 2, zz = 5
344 => 332, x = 0, y = 0, z = 5, xx = 0, yy = 3, zz = 5
345 => 333, x = 0, y = 0, z = 5, xx = 1, yy = 3, zz = 5
346 => 334, x = 0, y = 0, z = 5, xx = 2, yy = 3, zz = 5
347 => 335, x = 0, y = 0, z = 5, xx = 3, yy = 3, zz = 5
324 => 336, x = 4, y = 0, z = 5, xx = 4, yy = 0, zz = 5
325 => 337, x = 4, y = 0, z = 5, xx = 5, yy = 0, zz = 5
326 => 338, x = 4, y = 0, z = 5, xx = 6, yy = 0, zz = 5
327 => 339, x = 4, y = 0, z = 5, xx = 7, yy = 0, zz = 5
332 => 340, x = 4, y = 0, z = 5, xx = 4, yy = 1, zz = 5
333 => 341, x = 4, y = 0, z = 5, xx = 5, yy = 1, zz = 5
334 => 342, x = 4, y = 0, z = 5, xx = 6, yy = 1, zz = 5
335 => 343, x = 4, y = 0, z = 5, xx = 7, yy = 1, zz = 5
340 => 344, x = 4, y = 0, z = 5, xx = 4, yy = 2, zz = 5
341 => 345, x = 4, y = 0, z = 5, xx = 5, yy = 2, zz = 5
342 => 346, x = 4, y = 0, z = 5, xx = 6, yy = 2, zz = 5
343 => 347, x = 4, y = 0, z = 5, xx = 7, yy = 2, zz = 5
348 => 348, x = 4, y = 0, z = 5, xx = 4, yy = 3, zz = 5
349 => 349, x = 4, y = 0, z = 5, xx = 5, yy = 3, zz = 5
350 => 350, x = 4, y = 0, z = 5, xx = 6, yy = 3, zz = 5
351 => 351, x = 4, y = 0, z = 5, xx = 7, yy = 3, zz = 5
352 => 352, x = 0, y = 4, z = 5, xx = 0, yy = 4, zz = 5
353 => 353, x = 0, y = 4, z = 5, xx = 1, yy = 4, zz = 5
354 => 354, x = 0, y = 4, z = 5, xx = 2, yy = 4, zz = 5
355 => 355, x = 0, y = 4, z = 5, xx = 3, yy = 4, zz = 5
